Game 136: Score = 792, Max Tile = 64, Time = 0.0213 seconds
Game 137: Score = 336, Max Tile = 32, Time = 0.0158 seconds
Game 138: Score = 1196, Max Tile = 128, Time = 0.0243 seconds
Game 139: Score = 1420, Max Tile = 128, Time = 0.0345 seconds
Game 140: Score = 2092, Max Tile = 256, Time = 0.0414 seconds
Game 141: Score = 2404, Max Tile = 256, Time = 0.0724 seconds
Game 142: Score = 728, Max Tile = 64, Time = 0.0220 seconds
Game 143: Score = 1388, Max Tile = 128, Time = 0.0448 seconds
Game 144: Score = 828, Max Tile = 64, Time = 0.0401 seconds
Game 145: Score = 856, Max Tile = 64, Time = 0.0104 seconds
Game 146: Score = 1044, Max Tile = 128, Time = 0.0535 seconds
Game 147: Score = 688, Max Tile = 64, Time = 0.0313 seconds
Game 148: Score = 632, Max Tile = 64, Time = 0.0226 seconds
Game 149: Score = 1360, Max Tile = 128, Time = 0.0233 seconds
Game 150: Score = 1516, Max Tile = 128, Time = 0.0550 seconds
Game 151: Score = 588, Max Tile = 64, Time = 0.0045 seconds
Game 152: Score = 608, Max Tile = 64, Time = 0.0247 seconds
Game 153: Score = 1424, Max Tile = 128, Time = 0.0500 seconds
Game 154: Score = 772, Max Tile = 64, Time = 0.0375 seconds
Game 155: Score = 748, Max Tile = 64, Time = 0.0197 seconds
Game 156: Score = 1432, Max Tile = 128, Time = 0.0493 seconds
Game 157: Score = 1188, Max Tile = 128, Time = 0.0215 seconds
Game 158: Score = 1084, Max Tile = 128, Time = 0.0293 seconds
Game 159: Score = 668, Max Tile = 64, Time = 0.0172 seconds
Game 160: Score = 1188, Max Tile = 128, Time = 0.0329 seconds
Game 161: Score = 616, Max Tile = 64, Time = 0.0171 seconds
Game 162: Score = 688, Max Tile = 64, Time = 0.0172 seconds
Game 163: Score = 520, Max Tile = 64, Time = 0.0186 seconds
Game 164: Score = 1240, Max Tile = 128, Time = 0.0232 seconds
Game 165: Score = 1280, Max Tile = 64, Time = 0.0381 seconds
Game 166: Score = 592, Max Tile = 64, Time = 0.0166 seconds
Game 167: Score = 452, Max Tile = 32, Time = 0.0112 seconds
Game 168: Score = 896, Max Tile = 64, Time = 0.0311 seconds
Game 169: Score = 288, Max Tile = 32, Time = 0.0118 seconds
Game 170: Score = 808, Max Tile = 64, Time = 0.0227 seconds
Game 171: Score = 928, Max Tile = 128, Time = 0.0237 seconds
Game 172: Score = 340, Max Tile = 32, Time = 0.0231 seconds
Game 173: Score = 956, Max Tile = 64, Time = 0.0261 seconds
Game 174: Score = 884, Max Tile = 128, Time = 0.0171 seconds
Game 175: Score = 1276, Max Tile = 128, Time = 0.0348 seconds
Game 176: Score = 728, Max Tile = 64, Time = 0.0176 seconds
Game 177: Score = 676, Max Tile = 64, Time = 0.0221 seconds
Game 178: Score = 1128, Max Tile = 128, Time = 0.0407 seconds
Game 179: Score = 408, Max Tile = 32, Time = 0.0220 seconds
Game 180: Score = 552, Max Tile = 64, Time = 0.0218 seconds
Game 181: Score = 1672, Max Tile = 128, Time = 0.0321 seconds
Game 182: Score = 2056, Max Tile = 256, Time = 0.0335 seconds
Game 183: Score = 1056, Max Tile = 64, Time = 0.0378 seconds
Game 184: Score = 1084, Max Tile = 128, Time = 0.0202 seconds
Game 185: Score = 912, Max Tile = 64, Time = 0.0426 seconds
Game 186: Score = 684, Max Tile = 64, Time = 0.0060 seconds
Game 187: Score = 1104, Max Tile = 128, Time = 0.0347 seconds
Game 188: Score = 1548, Max Tile = 128, Time = 0.0411 seconds
Game 189: Score = 1348, Max Tile = 128, Time = 0.0254 seconds
Game 190: Score = 1188, Max Tile = 128, Time = 0.0263 seconds
Game 191: Score = 404, Max Tile = 32, Time = 0.0161 seconds
Game 192: Score = 1088, Max Tile = 128, Time = 0.0167 seconds
Game 193: Score = 2568, Max Tile = 256, Time = 0.0481 seconds
Game 194: Score = 1524, Max Tile = 128, Time = 0.0490 seconds
Game 195: Score = 668, Max Tile = 64, Time = 0.0193 seconds
Game 196: Score = 652, Max Tile = 64, Time = 0.0179 seconds
Game 197: Score = 2340, Max Tile = 256, Time = 0.0467 seconds
Game 198: Score = 1432, Max Tile = 128, Time = 0.0445 seconds
Game 199: Score = 1424, Max Tile = 128, Time = 0.0429 seconds
Game 200: Score = 388, Max Tile = 32, Time = 0.0156 seconds
Game 201: Score = 1448, Max Tile = 128, Time = 0.0416 seconds
